;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
49; 1-11 Rue Auguste Piron Route D'angers;72100;Le Mans ;47.96819;0.202799;4.65;1.65;1.45;2.49;2.99;2.29;1.35
50; 1-3 Passage Des Vignes 192 Grande Rue;69600;Oullins ;45.712822;4.800706;4.65;;1.59;;2.99;2.15;
51; 1-3 Rue Notre Dame 17/19 Av Desambrois;06000;Nice ;43.705282;7.270328;4.75;1.65;1.65;;2.99;2.29;1.35
52; 1-5 Route De Nimes;30200;Bagnols-sur-Cèze ;44.153853;4.617197;4.65;;1.55;2.21;2.89;2.09;
53; 10 Avenue De La Gare;30700;Uzès ;44.012035;4.414912;5.19;1.97;1.96;;3.34;2.17;1.51
54; 10 Avenue Foreau;94440;Villecresnes ;48.726998;2.536192;5.32;1.88;2.04;;3.13;2.17;1.3
55; 10 Boulevard Lagal;82700;Montech ;43.9566007;1.227936;5.53;2.07;2.2;2.8;3.48;;
56; 10 Place De La Liberte;78700;Conflans-Sainte-Honorine ;49.00573;2.11658;4.65;1.59;1.55;;2.99;2.15;1.25
57; 10 Place Du General Leclerc;80190;Nesle ;49.7580804;2.9091064;5.13;2.14;1.82;2.98;3.25;2.21;
58; 10 Rue Du Pont Bouchard;17240;St Genis Sainto ;45.480751;-0.569399;5.53;2.07;2.2;;;;1.44
59; 10 Rue Du President Kennedy;42240;Unieux ;45.4003;4.25958;4.65;1.49;1.43;2.39;2.95;1.99;1.25
60; 10 Rue Gal-De-Gaulle;27600;Gaillon ;49.160409940132595;1.3332058895339955;;2.07;2.2;;3.6;;
61; 10 Rue H. Barbusse;92300;Levallois-Perret ;48.891016;2.289858;5.54;2.03;2.16;;3.66;2.32;1.64
62; 10 Rue Louise;69003;Lyon ;45.750168;4.885486;5.14;1.97;;;;2.15;1.51
63; 10 Rue Saint Nicolas;54000;Nancy ;48.68953;6.18502;5.19;1.79;1.95;;3.2;;1.3
64; 10 Rue Westermeyer C.C. Quais D'ivry;94200;Ivry-sur-Seine ;48.81835;2.39519;;1.59;1.59;2.39;2.99;2.29;1.35
65; 10-13 Allee Du Bois Des Esquers;09110;Perles-et-Castelet ;42.7392136;1.7890677;4.97;1.9;1.84;2.5;2.99;2.1;
66; 10/12 Blvd M.Leclerc;31000;Toulouse ;43.6074389;1.4312535;5.1;1.9;;;3.18;2.2;1.39
67; 10/12r Port.Matheron;84000;Avignon ;43.949811;4.812051;5.26;2.01;2.03;2.95;3.38;2.2;1.52
68; 100-102 Rue De La Croix Nivert;75015;Paris ;48.84303;2.294973;5.76;2.03;;;3.66;;1.64
69; 1000 Rue D'arras;62810;Avesnes-Comte ;50.283294;2.546136;;1.59;1.59;2.45;2.99;2.15;1.25
70; 1000 Rue Jean Jaures;02230;Fresnoy-le-Grand ;49.954981;3.427762;4.65;1.49;1.59;2.45;2.99;2.09;1.25
71; 1004 Route D'uzes;30500;Saint-Ambroix ;44.250579;4.198461;4.65;1.59;;;2.99;2.29;1.25
72; 101 Avenue De La Marne;56000;Vannes ;47.6591;-2.7908;4.6;1.49;1.55;2.39;2.89;1.99;1.25
73; 101 Avenue De La Republique;33450;Saint-Loubès ;44.91533;-0.418643;4.65;1.59;1.55;;2.99;2.09;1.25
74; 101 Avenue Du 18 Avril;91200;Athis-Mons ;48.7021387;2.3866804;5.53;1.88;1.97;2.94;2.99;2.41;1.73
75; 101-103 Av. De Paris;94160;Saint-Mandé ;48.845985;2.421335;5.54;2.03;2.16;;3.66;2.32;1.64
