;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
206; 15 Avenue Georges Pompidou;46100;Figeac ;44.606413;2.024688;4.65;1.59;1.55;;;;1.25
207; 15 Avenue Guillaume De Villaret Lieu Dit Lahoueille;40240;Saint-Justin ;43.976435;-0.239385;4.87;1.87;1.99;;2.92;2.2;1.25
208; 15 Bis R Sadi Carnot;59177;Sains-du-Nord ;50.083775;4.011388;;2.07;;;2.99;2.13;
209; 15 Boulevard Du General Delfino Cc Tnl;06300;Nice ;43.706715;7.286564;;1.49;1.55;2.29;2.99;1.99;1.25
210; 15 Route De St Pee Sur Nivelle;64250;Souraïde ;43.343142;1.524212;5.68;207.0;220.0;;;245.0;
211; 15 Rue Des Resistants;59148;Flines-lez-Raches ;50.4281;3.18035;;2.0;1.7;2.8;2.99;2.08;1.22
212; 15 Rue Marie Curie Za St Campin Saint Martin La Pallu;86380;Vendeuvre Du Poitou ;46.730189;0.306053;4.99;2.14;1.8;;2.99;2.29;1.26
213; 15-17 Avenue Louis Georgeon;94230;Cachan ;48.793209;2.335312;4.79;1.89;1.69;2.21;3.35;;1.49
214; 15-17 Bd General Leclerc Quartier Chemin De L'ile;92000;Nanterre ;48.897517;2.19424;4.65;1.59;;2.35;;2.29;1.25
215; 150 Rue De La Loire;44521;Oudon ;47.3461611;-1.2839687000001;5.72;2.33;;;3.49;;
216; 151 Rue Chartreuse Zi Levatel;38140;Rives S/Fures ;45.358637;5.494576;;1.49;1.55;;;1.99;1.25
217; 151 Rue Du Faubourg De Roubaix;59000;Lille ;50.64187;3.08511;5.02;;;;3.2;2.16;1.27
218; 152 Route Nationale;41260;La Chaussée-Saint-Victor ;47.619332;1.36682;4.65;1.49;1.55;2.21;2.89;1.99;1.25
219; 152 Rue Lafayette;75010;Paris ;48.879051;2.356417;5.54;2.03;2.16;2.85;3.66;;1.64
220; 153 Route De L'empereur;92500;Rueil-Malmaison ;48.864526;2.180861;;2.03;2.16;;3.66;2.32;
221; 154 Rue St Charles;75015;Paris ;48.8426879;2.2819608;5.54;2.03;2.16;;3.66;2.32;1.64
222; 156 Rue Joliot Curie;69160;Tassin-la-Demi-Lune ;45.752032;4.770352;4.99;1.96;1.96;;3.08;2.12;1.33
223; 158 Rue Ambroise Croizat;59450;Sin-le-Noble ;50.36726;3.120344;4.65;1.59;1.55;;2.99;2.09;1.25
224; 16 Av Marechal Foch;64100;Bayonne ;43.494067;-1.481884;;2.07;;;;;
225; 16 Avenue De Marboz;01000;Bourg-en-Bresse ;46.21769;5.22754;4.65;1.59;1.43;2.39;2.95;1.99;1.25
226; 16 Avenue Du General De Gaulle Vertus;51130;Blancs-Coteaux ;48.89716;4.01181;4.65;1.59;1.59;;2.99;2.15;1.25
227; 16 Avenue Du General Leclerc;19100;Brive-la-Gaillarde ;45.153988;1.534536;5.1;1.9;2.02;2.58;3.18;2.2;1.39
228; 16 Avenue Theophile Gautier;75016;Paris ;48.850841;2.273554;5.54;2.03;2.16;;3.66;2.32;1.64
229; 16 Boulevard Charles De Gaulle;51420;Witry-lès-Reims ;49.28489;4.1094;4.65;1.59;1.55;;2.99;;1.25
230; 16 Chemin Du Chardonnet;63960;Veyre-Monton ;45.6706712;3.1712616;4.99;1.96;1.96;;2.99;2.12;1.33
231; 16 Place Des Douves;44190;Clisson ;47.0859228;-1.2841015;5.54;2.33;2.02;;3.37;2.53;1.39
232; 16 Route De Cernay;51100;Reims ;49.261172;4.065594;;1.59;1.55;2.29;;2.29;
233; 16 Route Nationale (Rn25) Zac Vallee St Ladre;80000;Amiens ;49.920874;2.303252;4.6;1.49;1.59;2.39;2.99;2.15;1.25
234; 16 Rue D'epernon;78550;Maulette ;48.787784;1.605963;4.65;1.59;1.55;2.21;;2.15;1.25
235; 16 Rue Des Fourches;25530;Vercel-Villedieu-Cam ;47.182363;6.396528;4.6;1.95;2.1;;3.39;;
236; 16 Rue Du 2 Septembre 1944;02450;La Neuville-lès-Dorengt ;49.97654;3.68345;5.01;2.07;1.87;;;2.13;1.28
237; 16 Rue Du 6 Juin;61100;Flers ;48.749718;-0.567273;5.21;2.21;1.89;;3.17;2.38;1.3
238; 16 Rue Fernand Christ;02000;Laon ;49.56978;3.6077;4.65;1.59;1.45;;2.99;2.09;
239; 16 Rue Pierre Bachelet;62460;Divion ;50.468098;2.501087;4.65;1.59;1.59;;2.99;2.29;
240; 16 Vieille Route De Salindres;30340;Saint-Privat-des-Vieux ;44.158115;4.114963;4.65;;1.39;2.21;2.99;2.15;1.25
241; 160 Rue Du Rouet;13008;Marseille ;43.277529;5.393141;4.79;1.65;1.65;;2.99;2.29;
242; 161 Av De Verdun;92190;Meudon ;48.8181893;2.246304699999996;5.54;2.03;2.16;2.85;;2.32;1.64
243; 161 Avenue Des Lacs;74950;Scionzier ;46.065348;6.550583;;1.59;;2.45;2.99;2.15;1.25
244; 162 Rue Alfred Maes;62300;Lens ;50.427367;2.806182;4.65;1.65;1.65;2.45;2.95;2.29;1.35
245; 163 Route De Paris Sud;62280;Saint-Martin-Boulogne ;50.720455;1.604422;4.65;;1.45;;2.99;2.09;
246; 163 Rue De La Republique;76320;Caudebec-lès-Elbeuf ;49.283458;1.017114;5.21;2.21;1.89;;3.17;;
247; 164 Avenue Victor Hugo;26000;Valence ;44.922246;4.886415;5.26;2.01;2.03;2.8;3.38;2.2;1.52
248; 164 Route Du Plan De La Tour Cc Le Preconil;83120;Sainte-Maxime ;43.325704;6.618269;4.6;1.59;1.55;2.26;2.59;1.75;1.25
249; 165 Route Nationale 7;38150;Salaise-sur-Sanne ;45.342191;4.806915;;1.49;1.55;;;2.15;1.25
250; 165 Rue De France;06000;Nice -France 165 ;43.6922201;7.247022;5.26;2.01;2.03;;3.38;2.2;1.52
251; 166 Boulevard Massena;75013;Paris ;48.819218;2.361073;5.55;2.03;2.16;;3.66;2.31;
252; 168 Rue D'arnage;72100;Le Mans ;47.9851;0.18654;4.65;1.49;1.39;;2.89;1.99;1.25
253; 169 Route De Lyon;03000;Moulins ;46.539603;3.343533;4.6;1.49;;;2.89;1.89;1.25
254; 169 Rue De Stalingrad;69400;Villefranche-sur-Saône ;45.9856286;4.7180831;4.65;1.59;1.55;;;2.15;1.25
255; 17 Allee Edmond Rost;64250;Cambo-les-Bains ;43.36172141170159;-1.402864398557872;4.6;2.07;1.76;;2.99;2.13;1.28
256; 17 Avenue Maginot;01000;Bourg-en-Bresse ;46.2080645;5.2275425999999925;5.77;2.02;1.92;2.83;3.72;;1.31
257; 17 Boulevard Saint Martin;75003;Paris ;48.867996;2.360137;5.54;2.03;2.16;;3.66;2.32;1.64
258; 17 Place De L'europe;77700;Bailly-Romainvilliers ;48.8503692;2.8202735;4.65;1.65;;;2.99;2.59;1.35
259; 17 Rue De La Liberation Route De Combourg;35540;Miniac-Morvan ;48.51443;-1.89972;4.99;1.9;1.8;;3.06;2.29;
260; 17 Rue De Normandie 0;50200;Coutances ;49.0499881;-1.4409588;4.99;2.14;1.8;2.65;3.06;2.29;
261; 17 Rue Des Clercs;57000;Metz ;49.1172255;6.1732678999999;;1.85;1.99;3.09;3.29;2.5;1.35
262; 17 Rue Du General Leclerc;45120;Châlette-sur-Loing ;48.007965;2.739218;4.65;1.59;;;2.95;;
263; 17-19 Rue Van Marcke;80000;Amiens ;49.896787;2.301013;5.13;2.14;1.82;2.48;3.25;2.21;
264; 170 Avenue D'auenwald Route De Vienne;38270;Beaurepaire ;45.341496;5.048576;4.79;1.65;1.46;2.49;2.99;2.29;1.29
265; 170 Avenue Emile Normandin;17000;La Rochelle ;46.141143;-1.13861;4.99;2.14;1.56;2.65;2.99;2.29;1.26
266; 172 Rue Jules Ferry;33200;Bordeaux ;44.84453;-0.60976;;1.65;1.65;;2.99;2.39;1.35
267; 173 Route Nationale;57970;Yutz ;49.366533;6.210091;4.65;1.59;1.59;;2.99;2.15;
268; 174 Avenue De Quakenbruck;61000;Alençon ;48.442951;0.111525;4.65;1.49;1.39;;2.89;1.99;1.25
269; 1755 Av Pierre Mendes France;30000;Nîmes ;43.818431;4.393075;4.6;1.49;1.55;;2.95;2.15;1.25
270; 176 Avenue De La Gare;60320;Béthisy-Saint-Pierre ;49.29678;2.79867;4.65;1.59;1.55;;2.99;2.15;1.25
271; 1770 Route De Grasse;06600;Antibes ;43.5979527;7.0885575;4.65;1.59;1.55;;2.99;;1.29
272; 178 Rue Gambetta;59110;La Madeleine -Gambet ;50.654956;3.066418;5.13;2.14;1.82;2.98;;2.21;1.3
273; 17b Place Du General De Gaulle;59122;Hondschoote ;50.9814283;2.5857164;4.85;;1.7;2.8;2.99;2.08;
274; 18 Avenue De La Republique;66190;Collioure ;42.525705;3.082707;5.18;1.96;2.1;2.86;3.26;2.35;
275; 18 Bis Rue De La Longeville;62650;Hucqueliers ;50.568523;1.907422;4.85;2.0;1.7;2.8;2.99;2.08;1.22
276; 18 Boulevard Albert 1er;20000;Ajaccio ;41.913006;8.724382;4.65;;1.65;2.2;2.99;;1.39
277; 18 Place Jean Mermoz;83120;Sainte-Maxime ;43.31066;6.63453;4.65;1.65;1.55;2.21;3.15;2.15;
278; 18 Place St Simplice;57000;Metz ;49.116523;6.18035;5.29;1.85;;;3.19;2.5;1.35
279; 18 Rue Casimir Beugnet;62160;Bully-les-Mines ;50.44619;2.72083;4.65;1.59;1.55;2.39;2.89;2.09;1.25
280; 18 Rue De Montmargantin;61700;Domfront en Poiraie ;48.589622;-0.644401;4.65;1.49;1.39;;2.99;4.18;1.25
281; 18 Rue Des Cordeliers;86000;Poitiers ;46.582341;0.342091;5.72;2.33;2.02;;3.49;;1.43
282; 18 Rue Des Sablons;72320;Vibraye ;48.0587153;0.7339188;5.4;2.24;1.95;;;;
283; 18 Rue Lacretelle;71000;Mâcon ;46.3045863;4.8289617;5.26;2.01;2.01;2.95;3.38;2.2;1.52
284; 180 Route Nationale 7;91200;Athis-Mons ;48.713054;2.373577;4.6;1.59;1.59;2.29;2.99;2.15;
285; 182 Avenue Emmanuel Clement;69590;Saint-Symphorien-sur-Coise ;45.63644;4.46127;4.65;1.59;1.55;2.45;2.95;2.15;1.25
286; 183 Route De Lille;62660;Beuvry ;50.515744;2.6836099;4.65;1.59;1.59;2.45;2.99;2.15;1.29
287; 184 Rue Du 19 Mars 1962;01540;Vonnas ;46.217209;4.992024;;1.59;1.43;2.45;2.99;2.29;
288; 185 Rue De Grenelle;75007;Paris ;48.85682870200737;2.3039750315414755;5.54;;2.16;2.85;3.66;2.32;1.64
289; 187 Rue De St Ladre;59400;Cambrai ;50.163248;3.25015;4.65;;1.45;;2.99;2.29;1.35
290; 189 Rue Des Fontaines;31300;Toulouse ;43.602104;1.414133;5.68;2.07;;;3.6;2.45;
291; 189-191 Boulevard Voltaire;75011;Paris ;48.8535945;2.3877116;5.67;2.03;1.92;2.85;;2.32;1.62
292; 19 Av Du General De Gaulle;25460;Etupes -De Gaulle ;47.50587;6.852312;5.65;1.95;2.1;2.95;2.99;2.65;
293; 19 Avenue Aristide Briand;25400;Audincourt -Briand ;47.482498;6.841868;;1.75;2.1;2.7;3.5;2.65;
294; 19 Avenue Berthelot;38200;Vienne ;45.5371032;4.8733128;4.65;1.65;1.45;2.45;2.99;2.15;1.25
295; 19 Pl De La Republique;14160;Dives-sur-Mer ;49.2867529;-0.09757999999999356;;2.33;2.02;;3.49;;
296; 19 Place Germain Claverie;65000;Tarbes ;43.22822;0.08673;4.65;1.59;;2.21;2.89;1.99;
297; 19 Rue Chauvelot;75015;Paris ;48.82846;2.3032717;5.54;2.03;;;3.66;2.32;1.64
298; 19 Rue Du 22 Novembre;67000;Strasbourg -22 Novem ;48.582894;7.743275;5.29;;1.99;;;;1.35
299; 19 Rue Florence;84000;Avignon ;43.9487912;4.8091934;5.26;2.01;;2.95;3.38;;1.52
300; 19 Rue Nationale;59380;Bergues ;50.969446;2.432238;5.32;2.13;1.83;;;2.29;
301; 191 Les Terres Du Fenestrelay;18390;Saint-Germain-du-Puy ;47.095025;2.442484;4.65;1.49;;2.21;2.89;1.99;1.25
302; 194 Rue Paul Vaillant Couturier;94140;Alfortville -Couturi ;48.8023248;2.4208337;5.45;;;;2.99;2.17;1.3
303; 196 Place Gaston Sanson;76640;Fauville En Caux ;49.65110716952364;0.59101020189986;5.1;1.96;1.91;;3.08;;
304; 197 Corniche Prsdt Jf Kennedy;13007;Marseille -Kennedy ;43.28379;5.35033;5.77;;;;3.72;;
305; 1b Rue Du Plain Lieudit La Gueyere;70250;Ronchamp ;47.6973322;6.6435917;4.99;1.75;;;;2.35;
306; 1rte Maisons Blanche;10800;Buchères ;48.236173;4.109117;5.15;1.79;1.9;2.65;2.99;;1.29
307; 2 Allee Du Marche Zac Du Gaillardon;77000;Melun ;48.53855;2.66449;4.65;;;2.21;2.99;2.29;
308; 2 Avenue Charles De Gaulle;69740;Genas ;45.732488;5.002864;4.6;;1.59;;2.99;2.15;1.25
309; 2 Avenue De Bale;68300;Saint-Louis ;47.585948;7.5641;5.19;;1.95;;3.2;;1.3
310; 2 Avenue De La Petite Mer;13127;Vitrolles ;43.454248;5.231132;5.26;2.01;2.03;;;;1.52
311; 2 Avenue De La Plage;17940;Rivedoux-Plage ;46.1589218;-1.2729707999999;5.72;2.33;2.02;;3.49;2.61;1.43
312; 2 Avenue Delattre De Tassigny;01200;Bellegarde S/Valseri ;46.123867;5.812968;4.6;1.59;1.55;2.45;;2.15;1.25
313; 2 Avenue Gustave Picard;76410;Tourville-la-Rivière ;49.329991;1.096385;4.6;1.45;1.55;2.39;2.95;;1.25
314; 2 Avenue Jean Jaures;03350;Cérilly ;46.6149568;2.8250396;4.99;1.96;1.96;;3.08;2.12;1.33
315; 2 Avenue Jean Mabuse;59600;Maubeuge ;50.27666;3.97399;5.58;2.16;1.6;2.67;3.1;2.32;1.27
316; 2 Avenue Leo Lagrange;13410;Lambesc ;43.648631;5.265639;4.99;1.96;1.97;2.76;2.99;2.12;1.33
317; 2 Avenue Leon Morin Cc Les Alouettes;33600;Pessac ;44.795606;-0.666366;4.61;1.65;1.45;2.28;2.99;2.29;1.28
318; 2 Avenue Simone Veil;56850;Caudan ;47.804015;-3.344437;4.89;2.09;1.76;2.59;2.99;2.23;1.23
319; 2 Bd Gallieni Cc Qwartz;92390;Villeneuve-la-Garenne ;48.925789;2.328486;;1.49;1.59;2.29;3.15;2.15;1.35
320; 2 Bis Rue De Cherisy;62156;Vis-en-Artois ;50.246484;2.943577;5.01;2.07;1.76;2.87;;2.13;1.28
321; 2 Clos St Lambert;59139;Wattignies ;50.58193;3.04373;5.68;2.24;;3.28;3.7;2.44;
322; 2 Pl Du Mandarous;12100;Millau ;44.0996264;3.0780729;5.18;;2.1;2.64;3.26;;
323; 2 Place De France Cc Les Franciades;91300;Massy ;48.73249;2.287853;4.65;1.65;1.65;;2.99;4.3;1.35
324; 2 Place Du Marche Au Bois;44350;Guérande ;47.32793;-2.426502;5.09;2.16;1.84;;;2.32;
325; 2 Route De Biscarosse;33770;Salles ;44.546731;-0.874394;4.65;1.8;1.59;2.21;2.99;2.15;
326; 2 Route De Paris Le Haut Hubert;76240;Le Mesnil-Esnard ;49.406755;1.152193;4.65;1.59;1.55;;2.99;1.99;1.25
327; 2 Route De Roques;31270;Villeneuve-Tolosane ;43.517249;1.349388;4.97;1.9;2.02;2.5;2.99;2.15;1.29
328; 2 Route De Tours Zone Commerciale De La Loge;37190;Azay-le-Rideau ;47.266886;0.473476;4.65;1.59;1.59;;2.99;2.09;1.25
329; 2 Rte Brie Comte Rob;94520;Perigny/Yerres ;48.6954678;2.557138;5.27;1.84;1.99;;3.06;2.12;1.35
330; 2 Rue Bannelier;21000;Dijon ;47.32411;5.04041;5.14;1.97;1.93;;3.32;;1.51
331; 2 Rue Challonge;22960;Plédran ;48.44534;-2.75058;4.65;1.59;1.39;;2.99;2.09;1.25
332; 2 Rue Charles De Gaulle 0;94130;Nogent-sur-Marne ;48.835547;2.474216;6.25;;2.25;2.99;3.46;2.4;1.69
333; 2 Rue Coeur Joyeux;59211;Santes ;50.5952;2.95344;;2.0;1.7;2.8;2.99;;
334; 2 Rue D'assailly;42420;Lorette ;45.50972;4.57411;4.65;1.59;1.43;;2.99;2.15;1.25
335; 2 Rue De Bonnetable Les Maillets;72000;Le Mans ;48.01769;0.21899;4.65;1.59;1.39;;2.89;1.99;1.25
336; 2 Rue De L'industrie;14123;Cormelles-le-Royal ;49.157416;-0.325926;4.89;;1.76;2.59;2.99;;1.38
337; 2 Rue De La Barre;44110;Châteaubriant ;47.71795;-1.37821;4.79;1.65;1.59;2.45;2.99;;1.29
338; 2 Rue De La Chaponniere;50570;Marigny-Le-Lozon ;49.090171;-1.24746;;1.59;1.43;2.49;2.99;;1.29
339; 2 Rue De Rathsamhausen;67100;Strasbourg ;48.5692937;7.7627917;;;2.1;3.15;;2.75;
340; 2 Rue De Soultz;68700;Uffholtz ;47.814013;7.180225;5.85;1.89;2.05;2.8;3.4;2.59;1.45
341; 2 Rue Des Bleuets Pole D'act.Commerc.Boreal Parc;62217;Beaurains ;50.262442;2.798107;4.65;1.49;1.55;;2.89;1.99;1.25
342; 2 Rue Des Messageries Cc Muse - Qtier Amphitheatre;57000;Metz ;49.107447;6.180947;;1.59;1.55;2.21;2.95;;1.25
343; 2 Rue Du 11 Novembre;42000;Saint-Étienne ;45.43036;4.38955;5.26;2.01;2.01;2.95;3.38;2.2;1.52
344; 2 Rue Du Centre;25320;Montferrand-Chateau ;47.17691;5.91537;4.99;1.75;1.9;;2.99;2.35;
345; 2 Rue Du Dr Gabriel Pain;71140;Bourbon-Lancy ;46.620319;3.77264;5.77;2.15;;3.13;3.72;;
346; 2 Rue Jacquard Cc Carre De Soie;69120;Vaulx-en-Velin ;45.763852;4.921063;4.65;1.59;1.55;;2.99;2.29;1.25
347; 2 Rue Jean Moulin;18400;Saint-Florent-sur-Cher ;46.99598;2.25291;4.65;1.49;;2.21;2.89;1.79;1.25
348; 2 Rue Lignee;67550;Vendenheim ;48.669501;7.71243;5.65;1.95;2.1;3.05;3.39;2.65;1.4
349; 2 Rue Louis Pasteur;62360;Condette ;50.64976280887643;1.625940903351792;5.15;1.79;1.9;;3.05;2.4;1.29
350; 2 Rue Marie Curie;44170;Nozay ;47.563823;-1.618109;4.89;2.09;1.76;;;2.23;1.2
351; 2 Rue Paul Cabet 0;21000;Dijon ;47.32147;5.04857;5.39;2.22;1.76;;3.64;2.67;1.65
352; 2 Rue Rene Goscinny Loti.Past.R.Goscinny;31400;Toulouse ;43.550496;1.457471;5.1;1.9;2.02;;;2.2;1.42
353; 2 Rue Romain Rolland Sanvic;76620;Le Havre ;49.50487;0.100627;4.79;1.65;1.59;;2.99;4.3;1.35
354; 2 Rue Saint Sauveur;80200;Peronne -St Sauveur ;49.929769;2.936168;5.13;2.14;1.82;;3.25;2.21;1.3
355; 2 Rue Saumuroise;49000;Angers ;47.46025;-0.537175;5.09;2.16;1.84;2.67;3.1;;1.27
356; 2-3 Place Des 4 Chemins;69190;Saint-Fons ;45.708285;4.854411;4.65;1.59;1.59;;2.95;2.29;1.25
357; 2-4 Avenue Du Portou Cc Ametzondo;64990;Saint-Pierre-d'Irube ;43.477;-1.4473;4.6;1.49;1.55;2.29;2.89;1.99;1.25
358; 2-4 Boulevard Clemenceau;62100;Calais ;50.9550087;1.8504836;5.13;2.14;1.82;2.98;3.25;2.21;1.3
359; 2-4 Boulevard Du Mont Boron;06300;Nice ;43.68801;7.29611;4.65;1.49;1.55;;2.99;;1.25
360; 2-4 Rue Benoit Malon;42000;Saint-Étienne ;45.444024;4.381181;5.14;1.97;1.93;2.75;3.32;;1.51
361; 2-5r Marche De Gros;66000;Perpignan ;42.7004698;2.8903539;5.67;2.03;2.16;2.85;3.66;2.32;1.64
362; 20 Avenue De La Republique Lieudit Le Pont;13124;Peypin -Republique ;43.384711;5.57466;5.77;2.15;;;3.72;;
363; 20 Avenue Fontaine Du Berger;77230;Saint-Mard ;49.034386;2.681426;4.6;1.59;1.55;2.45;2.99;1.99;1.25
364; 20 Avenue Jean Jaures;02370;Vailly-sur-Aisne ;49.4060786;3.5152971;4.85;;1.7;;2.99;2.08;
365; 20 Avenue Jean Jaures 0;51100;Reims ;49.258339;4.04174;5.85;1.95;;;3.5;2.75;
366; 20 Bis Place Gambetta;59124;Escaudain ;50.3344368;3.3440578;5.01;2.07;;;3.07;2.13;1.28
367; 20 Bld Marechal Foch;81100;Castres ;43.603479;2.238676;4.97;1.9;2.02;;2.99;2.15;1.29
368; 20 Cours Portal;33000;Bordeaux ;44.85314;-0.57338;5.65;1.89;2.05;2.99;;2.59;
369; 20 Les Allees;64700;Hendaye ;43.356285;-1.774338;4.65;1.86;1.55;2.21;2.99;;1.25
370; 20 Place Campariol;31470;Fontenilles ;43.547294;1.193069;4.87;1.87;1.99;;2.99;2.1;1.25
371; 20 Place De L'europe;35300;Fougères ;48.34759;-1.19502;4.65;1.49;1.39;;2.89;1.99;1.25
372; 20 Place De L'hotel De Ville;80000;Amiens ;49.89297;2.29559;5.13;2.14;1.82;2.98;3.25;2.21;1.3
373; 20 Place Henri Barbusse;30100;Alès ;44.123409;4.080168;5.26;;2.03;;3.38;;1.52
374; 20 Rue Andre Moinier;63000;Clermont-Ferrand ;45.780561;3.083412;5.26;;2.01;;3.38;2.2;
375; 20 Rue De Briey;57140;Woippy -Briey ;49.152907;6.144065;5.85;1.95;;;3.5;2.75;
376; 20 Rue Du Bourg;62120;Aire-sur-la-Lys ;50.63806;2.39663;5.01;2.07;1.76;2.87;3.07;2.13;1.28
377; 20 Rue Du Docteur Lavergne;22400;Lamballe-Armor ;48.467196;-2.51994;4.65;1.49;1.55;;2.89;;1.25
378; 20 Rue Victor Hugo;29200;Brest -Victor Hugo ;48.39184;-4.48059;5.09;2.16;1.84;;3.1;;1.27
379; 20 Zi Du Jalday Route De Bayonne;64500;Saint-Jean-de-Luz ;43.404736;-1.626602;4.6;1.49;1.55;2.29;2.99;1.99;1.29
380; 20/22 Avenue Robert Schuman Immeuble Murano;13002;Marseille ;43.302076;5.366323;4.79;1.65;1.59;;3.15;2.29;1.35
381; 20/22 Rue Engel Dollfus;68100;Mulhouse ;47.75126;7.333564;;1.79;1.95;3.0;3.2;2.45;1.3
382; 200 Bd Victor Joly Place Jules Morgan;13300;Salon-de-Provence ;43.637825;5.095147;4.65;1.59;1.55;2.21;;4.3;1.25
383; 200 Boulevard Vincent Auriol;82000;Montauban ;44.015059;1.365271;5.68;;;;3.6;;
384; 204 Rue Du Faubourg St Honore;75008;Paris ;48.8751304;2.3053634;5.54;2.03;;2.85;3.66;2.32;1.64
385; 21 La Riverette La Sinsole;09210;Lézat-sur-Lèze ;43.282121;1.346337;4.65;1.59;1.42;;2.99;4.3;1.25
386; 21 Place St Michel;81800;Rabastens S/Tarn ;43.8227386;1.7240492999999;4.87;1.87;1.99;;2.99;2.1;
387; 21 Rue Angelique Ducoudray;21000;Dijon ;47.32345909999999;5.070137899999963;5.77;;2.1;;;;
388; 21 Rue Centrale;73000;Bassens ;45.573905;5.943033;;1.49;1.55;;2.95;1.89;1.25
389; 21 Rue Des Meuniers;49124;Le Plessis-Grammoire ;47.49555;-0.432703;5.72;2.33;2.02;;3.49;;
390; 21 Rue Du Marechal Foch 0;67190;Mutzig -Foch ;48.538011;7.456439;5.65;1.95;;;2.99;2.65;1.4
391; 21 Rue Du Pont;62128;Croisilles ;50.199321;2.883039;;2.07;1.76;2.87;2.99;2.13;1.28
392; 21 Rue Louis Calmel;92230;Gennevilliers ;48.925276;2.291941;;1.49;1.55;2.29;2.99;1.99;1.29
393; 21 Rue Violet;75015;Paris ;48.8488037;2.2942772;5.54;2.03;2.16;2.85;3.66;;1.64
394; 21-23 Rue De Dunkerque;59200;Tourcoing ;50.716845;3.1495277;5.48;2.24;;;3.6;2.36;1.44
395; 210 Route De Bersat;74930;Reignier-Ésery ;46.12967;6.27202;;1.59;1.55;;2.99;2.09;1.25
396; 211 Quai Ledru Rollin Cc St Jacques;03100;Montluçon ;46.346462;2.601488;4.6;1.49;;2.05;2.95;1.89;1.25
397; 213 Boulevard Gallieni;92390;Villeneuve-la-Garenne ;48.934523;2.332647;5.67;1.9;1.92;;3.66;2.3;1.64
398; 213 Rue Du General De Gaulle 0;69530;Brignais ;45.668241;4.752807;;1.96;1.91;;2.99;2.12;1.33
399; 214 Rue Jules Barni;80090;Amiens ;49.8850555;2.3205516;;2.14;1.82;2.98;;2.21;1.3
400; 2144 Quai De La Gare Rte Pt De Vaux -Ldt Chps Bressan;71470;Romenay ;46.5015626;5.0655171999999;;2.14;1.8;;3.06;2.29;
401; 217 Route Des 3 Villages;33980;Audenge ;44.696474;-0.980245;4.65;1.59;1.59;2.21;;2.29;1.29
402; 22 Avenue Du General De Gaulle;78290;Croissy-sur-Seine ;48.8813077;2.1394295;;1.59;1.59;2.21;;2.29;1.35
403; 22 Avenue Malaussena;06000;Nice ;43.7084254;7.2631501;;1.95;2.1;;3.6;;1.45
404; 22 Avenue Maurice Petsche;05100;Briançon ;44.89597;6.63306;5.26;2.01;2.03;2.95;;2.17;
405; 22 Cours Jean Jaures;38000;Grenoble ;45.190703;5.719968;;1.97;1.91;2.86;3.32;2.15;1.51
406; 22 Promenee Marat Cc Jeanne Hachette;94200;Ivry-sur-Seine ;48.8110015;2.384903;4.65;1.59;1.59;;2.99;2.15;1.25
407; 22 R. Parc National;64260;Arudy ;43.104146;-0.436009;4.65;1.59;1.55;2.21;2.95;1.99;1.25
408; 22 Rue Colbert;08300;Rethel ;49.508536;4.365551;5.5;;;2.99;3.3;;1.39
409; 22 Rue Lobrot;27300;Bernay ;49.09065;0.60265;4.65;1.59;1.45;2.45;2.99;2.15;
410; 22 Rue Pasteur;31700;Blagnac ;43.6346401;1.3951349;4.87;1.87;1.99;;2.92;2.1;1.25
411; 220 R.Fbg St Antoine;75012;Paris ;48.8496771;2.3873868000001;5.54;2.03;;;3.66;2.32;1.64
412; 225 Rue Des Evignes;08170;Fumay ;49.990343;4.695949;4.65;1.49;1.55;2.21;2.95;2.09;1.25
413; 229 Les Grands Champs;24410;Saint Aulaye-Puymangou ;45.1973032;0.1288488;;;2.02;;;2.15;1.29
414; 23 Allee Du Vieux Saint-Louis;53000;Laval ;48.0724012;-0.7733468;5.4;2.24;1.95;2.82;3.29;2.47;
415; 23 Avenue De Paris;78440;Gargenville ;48.98824;1.81956;4.6;1.65;1.65;;2.99;2.29;1.35
416; 23 Avenue Gambetta;24200;Sarlat-la-Canéda ;44.8921954;1.215327;5.79;2.11;;;3.67;2.5;
417; 23 Rue De La Mauvendiere 0;87000;Limoges ;45.8337;1.2476;5.09;2.16;1.84;;3.1;;1.48
418; 23 Rue Des Piboules Quai Des Cabassols;13770;Venelles ;43.592012;5.479142;4.65;1.59;1.55;;2.99;2.15;1.25
419; 23 Rue Ferrer;59155;Faches-Thumesnil ;50.608971;3.065247;5.13;2.14;1.82;2.98;3.25;;
420; 23 Rue Robert Schuman;56000;Vannes ;47.651416;-2.770382;;2.16;1.84;;;2.32;
421; 23 Ruelle Du Pre Paradis;88500;Mirecourt ;48.30382;6.13107;4.65;1.49;1.55;2.29;2.89;;1.25
422; 234/242 Rue Roger Salengro;59260;Hellemmes ;50.62925629999999;3.100913900000023;5.01;2.07;1.76;2.87;3.07;2.13;1.28
423; 235 Rue Etienne Marcel Cc Grande Porte;93100;Montreuil ;48.855212;2.415717;;1.65;1.59;2.35;3.25;2.39;1.35
424; 236 Avenue Franklin Roosevelt Cc Sept Chemins;69120;Vaulx-en-Velin ;45.747075;4.92977;;1.49;1.55;;;1.99;1.25
